day,value
2017-06-01 00:00:00,23498.594340413518
2017-06-01 01:00:00,23114.4826932222
2017-06-01 02:00:00,23159.85168875965
2017-06-01 03:00:00,22514.688751340214
2017-06-01 04:00:00,22453.477830796674
2017-06-01 05:00:00,22367.24269637521
2017-06-01 06:00:00,22525.636180005473
2017-06-01 07:00:00,22242.498386767373
2017-06-01 08:00:00,21934.419883587332
2017-06-01 09:00:00,21292.776706730365
2017-06-01 10:00:00,21705.36481003593
2017-06-01 11:00:00,21851.12275924064
2017-06-01 12:00:00,21631.573712958103
2017-06-01 13:00:00,21694.878137714146
2017-06-01 14:00:00,21425.537467284867
2017-06-01 15:00:00,21724.64684658448
2017-06-01 16:00:00,21338.47688291272
2017-06-01 17:00:00,22392.8745576683
2017-06-01 18:00:00,21878.33296846863
2017-06-01 19:00:00,22651.24354388296
2017-06-01 20:00:00,22145.35847946744
2017-06-01 21:00:00,22083.940293378506
2017-06-01 22:00:00,22016.44709938521
2017-06-01 23:00:00,21685.802326024474
2017-06-02 00:00:00,21452.378252010592
2017-06-02 01:00:00,21446.51391120182
2017-06-02 02:00:00,20622.98930310478
2017-06-02 03:00:00,20377.184993562147
2017-06-02 04:00:00,20030.243256979127
2017-06-02 05:00:00,20721.366376249935
2017-06-02 06:00:00,21017.544938760802
2017-06-02 07:00:00,20360.509377333165
2017-06-02 08:00:00,20513.437798442435
2017-06-02 09:00:00,20508.563454369156
2017-06-02 10:00:00,19882.15837529449
2017-06-02 11:00:00,20083.726634234947
2017-06-02 12:00:00,20286.266790767382
2017-06-02 13:00:00,20665.07187581259
2017-06-02 14:00:00,21860.52295783401
2017-06-02 15:00:00,22451.822824825605
2017-06-02 16:00:00,24083.33164861825
2017-06-02 17:00:00,25461.67946316658
2017-06-02 18:00:00,25269.243753768234
2017-06-02 19:00:00,26204.588644834967
2017-06-02 20:00:00,25848.01667653749
2017-06-02 21:00:00,26134.664927359863
2017-06-02 22:00:00,25255.14479873624
2017-06-02 23:00:00,24664.523968248835
2017-06-03 00:00:00,23692.94591665178
2017-06-03 01:00:00,23811.458430267397
2017-06-03 02:00:00,23274.725629814388
2017-06-03 03:00:00,22677.70296563498
2017-06-03 04:00:00,21993.368931000026
2017-06-03 05:00:00,22101.075897958755
2017-06-03 06:00:00,22038.245672874476
2017-06-03 07:00:00,21752.16099128513
2017-06-03 08:00:00,22015.29237128876
2017-06-03 09:00:00,22149.252510152182
2017-06-03 10:00:00,21719.945538048683
2017-06-03 11:00:00,21807.044748190023
2017-06-03 12:00:00,22472.69909606232
2017-06-03 13:00:00,22458.000922250896
2017-06-03 14:00:00,24145.20209564691
2017-06-03 15:00:00,26105.809565726348
2017-06-03 16:00:00,27773.75439328606
2017-06-03 17:00:00,29250.11692919868
2017-06-03 18:00:00,30928.723462679358
2017-06-03 19:00:00,31431.47585272605
2017-06-03 20:00:00,30375.7731352484
2017-06-03 21:00:00,29450.770593960522
2017-06-03 22:00:00,28651.963484837994
2017-06-03 23:00:00,27444.940972941673
2017-06-04 00:00:00,26266.38253060981
2017-06-04 01:00:00,25954.208673976398
2017-06-04 02:00:00,25473.530807602645
2017-06-04 03:00:00,24687.99527599234
2017-06-04 04:00:00,24384.81683911982
2017-06-04 05:00:00,22336.41326971998
2017-06-04 06:00:00,23959.400534909455
2017-06-04 07:00:00,24597.634060955435
2017-06-04 08:00:00,24515.64623542779
2017-06-04 09:00:00,23873.58414530436
2017-06-04 10:00:00,24499.88547676208
2017-06-04 11:00:00,24513.920411432082
2017-06-04 12:00:00,25509.454309524855
2017-06-04 13:00:00,26348.205302201644
2017-06-04 14:00:00,28760.08225472259
