day,l6,kun
2017-06-01 00:00:00,0.46393500000008164,4.300000000000068
2017-06-01 01:00:00,0.4044024999986197,4.24999999999884
2017-06-01 02:00:00,-0.161156250000893,3.77499999999925
2017-06-01 03:00:00,-0.30998750000064934,3.6499999999994546
2017-06-01 04:00:00,-0.33975375000008085,3.624999999999932
2017-06-01 05:00:00,-0.4885849999998372,3.5000000000001363
2017-06-01 06:00:00,-0.2802212499916343,3.675000000007026
2017-06-01 07:00:00,1.20809125003671,4.925000000030831
2017-06-01 08:00:00,3.023832500012914,6.450000000010846
2017-06-01 09:00:00,3.827521250010477,7.125000000008799
2017-06-01 10:00:00,4.958638750015432,8.07500000001296
2017-06-01 11:00:00,5.49443125001738,8.525000000014597
2017-06-01 12:00:00,6.506483749988143,9.37499999999004
2017-06-01 13:00:00,5.821860000008934,8.800000000007504
2017-06-01 14:00:00,6.38741875002136,9.27500000001794
2017-06-01 15:00:00,6.387418749973768,9.274999999977968
2017-06-01 16:00:00,6.149288749981645,9.074999999984584
2017-06-01 17:00:00,5.0479374999510265,8.149999999958867
2017-06-01 18:00:00,3.142897499952651,6.549999999960232
2017-06-01 19:00:00,2.2499099999874934,5.799999999989496
2017-06-01 20:00:00,1.8331824999913913,5.4499999999927695
2017-06-01 21:00:00,1.7141174999906603,5.349999999992155
2017-06-01 22:00:00,0.28533749992422525,4.149999999936358
2017-06-01 23:00:00,-0.42905249999472056,3.5500000000044336
2017-06-02 00:00:00,-0.339753749983675,3.625000000013711
2017-06-02 01:00:00,0.22580500001640597,4.100000000013779
2017-06-02 02:00:00,0.7318312500168933,4.525000000014188
2017-06-02 03:00:00,0.6127662499824573,4.424999999985267
2017-06-02 04:00:00,0.5532337500184364,4.3750000000154845
2017-06-02 05:00:00,0.7318312500000002,4.525
2017-06-02 06:00:00,1.684351250137662,5.32500000011562
2017-06-02 07:00:00,4.095417500052872,7.350000000044406
2017-06-02 08:00:00,4.809807500090882,7.950000000076329
2017-06-02 09:00:00,6.208821250086658,9.125000000072783
2017-06-02 10:00:00,7.726900000074232,10.400000000062345
2017-06-02 11:00:00,8.649653750076668,11.175000000064392
2017-06-02 12:00:00,9.84030375002339,12.175000000019644
2017-06-02 13:00:00,10.465395000064161,12.700000000053887
2017-06-02 14:00:00,10.435628749967433,12.674999999972648
2017-06-02 15:00:00,9.87006999994071,12.199999999950204
2017-06-02 16:00:00,9.274744999903842,11.699999999919239
2017-06-02 17:00:00,7.845964999901727,10.499999999917463
2017-06-02 18:00:00,6.149288749816857,9.074999999846183
2017-06-02 19:00:00,4.39307999996264,7.599999999968622
2017-06-02 20:00:00,3.7977549999136673,7.0999999999274905
2017-06-02 21:00:00,3.5893912500979472,6.925000000082264
2017-06-02 22:00:00,4.690742500049787,7.850000000041813
2017-06-02 23:00:00,4.720508749969301,7.874999999974215
2017-06-03 00:00:00,4.154949999969057,7.399999999974012
2017-06-03 01:00:00,4.184716250010721,7.425000000009004
2017-06-03 02:00:00,4.363313749977747,7.57499999998131
2017-06-03 03:00:00,4.184716249988549,7.424999999990382
2017-06-03 04:00:00,4.30378124997661,7.524999999980355
2017-06-03 05:00:00,4.065651250045726,7.325000000038403
2017-06-03 06:00:00,5.34560000034103,8.400000000286424
2017-06-03 07:00:00,8.50082250016682,11.050000000140109
2017-06-03 08:00:00,10.792823750229843,12.97500000019304
2017-06-03 09:00:00,12.549032500135388,14.45000000011371
2017-06-03 10:00:00,13.14435750001283,14.950000000010778
2017-06-03 11:00:00,13.918280000191345,15.600000000160708
2017-06-03 12:00:00,15.22799500011736,16.70000000009857
2017-06-03 13:00:00,15.55542374998725,16.974999999989294
2017-06-03 14:00:00,15.704254999945583,17.099999999954296
2017-06-03 15:00:00,14.841033749848936,16.374999999873125
2017-06-03 16:00:00,13.858747499832042,15.549999999858937
2017-06-03 17:00:00,11.685811249731417,13.724999999774422
2017-06-03 18:00:00,9.98913499987054,12.29999999989127
2017-06-03 19:00:00,8.858017499897992,11.349999999914324
2017-06-03 20:00:00,8.262692500059531,10.850000000049999
2017-06-03 21:00:00,8.917549999999757,11.399999999999796
2017-06-03 22:00:00,8.649653749923818,11.174999999936016
2017-06-03 23:00:00,8.203160000046537,10.800000000039084
2017-06-04 00:00:00,8.1733937498906,10.774999999908118
2017-06-04 01:00:00,7.518536249936733,10.224999999946863
2017-06-04 02:00:00,7.250639999967757,9.99999999997292
2017-06-04 03:00:00,6.685081249918703,9.524999999931719
2017-06-04 04:00:00,5.7920937498516984,8.774999999875444
2017-06-04 05:00:00,5.167002499899536,8.249999999915621
2017-06-04 06:00:00,6.089756250543015,9.025000000456066
2017-06-04 07:00:00,9.423576250170717,11.825000000143381
2017-06-04 08:00:00,11.120252500311954,13.250000000262002
2017-06-04 09:00:00,11.656045000035492,13.700000000029808
2017-06-04 10:00:00,12.400201250231873,14.325000000194745
2017-06-04 11:00:00,13.680150000054173,15.400000000045498
2017-06-04 12:00:00,14.454072500182495,16.050000000153275
2017-06-04 13:00:00,15.585190000073501,17.000000000061732
2017-06-04 14:00:00,15.376826250018842,16.825000000015823
2017-06-04 15:00:00,15.28752749986786,16.74999999988902
2017-06-04 16:00:00,14.394539999770643,15.999999999807368
2017-06-04 17:00:00,12.727629999710055,14.599999999756482
2017-06-04 18:00:00,10.554693749570038,12.774999999638887
2017-06-04 19:00:00,8.649653749842114,11.174999999867394
2017-06-04 20:00:00,7.9352637498800425,10.57499999989925
2017-06-04 21:00:00,7.280406249939332,10.024999999949044
2017-06-04 22:00:00,6.9529774999590686,9.749999999965622
